DATE,CPIAUCSL,UNRATE
1955-10-01,0.0037425149700598404,4.3
1955-11-01,0.0037341299477220424,4.2
1955-12-01,0.0037355248412402897,4.2
1956-01-01,0.002241314904743996,4.0
1956-02-01,0.001491424310216205,3.9
1956-03-01,0.0037327360955581312,4.2
1956-04-01,0.005225830533781339,4.0
1956-05-01,0.009712364587224576,4.3
1956-06-01,0.01647323099962561,4.3
1956-07-01,0.019805680119581393,4.4
1956-08-01,0.02208083832335328,4.1
1956-09-01,0.01862197392923659,3.9
1956-10-01,0.02572706935123037,3.9
1956-11-01,0.0234375,4.3
1956-12-01,0.028284331968738252,4.2
1957-01-01,0.03130823704808061,4.2
1957-02-01,0.034996276991809516,3.9
1957-03-01,0.03607288955001864,3.7
1957-04-01,0.03713330857779429,3.9
1957-05-01,0.03588605253422128,4.1
1957-06-01,0.0353591160220994,4.3
1957-07-01,0.03297911322828884,4.2
1957-08-01,0.03551812522885389,4.1
1957-09-01,0.03546617915904937,4.4
1957-10-01,0.02944383860414379,4.5
1957-11-01,0.03271537622682663,5.1
1957-12-01,0.030401737242128135,5.2
1958-01-01,0.035056017347307566,5.8
1958-02-01,0.03237410071942448,6.4
1958-03-01,0.03625269203158665,6.7
1958-04-01,0.036161833154314316,7.4
1958-05-01,0.033571428571428585,7.4
1958-06-01,0.028459622909996485,7.3
1958-07-01,0.02483150053210359,7.5
1958-08-01,0.023338048090523422,7.4
1958-09-01,0.02083333333333326,7.1
1958-10-01,0.02083333333333326,6.7
1958-11-01,0.019007391763463444,6.2
1958-12-01,0.017562346329469625,6.2
1959-01-01,0.012918994413407825,6.0
1959-02-01,0.010452961672473782,5.9
1959-03-01,0.003463803255975062,5.6
1959-04-01,0.0013821700069107656,5.2
1959-05-01,0.003455425017277136,5.1
1959-06-01,0.006918021445866396,5.0
1959-07-01,0.008999653859466772,5.1
1959-08-01,0.008293020041465038,5.2
1959-09-01,0.011760636457972984,5.5
1959-10-01,0.015219647180906293,5.7
1959-11-01,0.013816925734024155,5.8
1959-12-01,0.015188125647221273,5.3
1960-01-01,0.012409513960703222,5.2
1960-02-01,0.014137931034482687,4.8
1960-03-01,0.015188125647221273,5.4
1960-04-01,0.019323671497584405,5.2
1960-05-01,0.018250688705234275,5.1
1960-06-01,0.017176228100309165,5.4
1960-07-01,0.013722126929674117,5.5
1960-08-01,0.01473612063056895,5.6
1960-09-01,0.012307692307692353,5.5
1960-10-01,0.013628620102214661,6.1
1960-11-01,0.014650766609880739,6.1
1960-12-01,0.013600816048962905,6.6
1961-01-01,0.016002723867892366,6.6
